national_number	description
798	A tiny, alien creature that appears to be made of folded, white-and-orange paper. It has a small, humanoid, origami-like body with incredibly sharp, blade-like edges.
799	A colossal, alien creature with a huge, gaping, spherical mouth that acts as its entire torso. It has a small, secondary head on top, and two massive, pincer-like appendages that it uses to shovel things into its mouth.
800	A legendary creature whose body is composed of black, crystalline prisms. Its natural form is dark and angular, but it can absorb light to become a brilliant, blindingly bright, golden, draconic being of pure energy.
801	An artificial, metallic, humanoid creature with a spherical, gear-like body resembling a mechanical dress. It has two large, cannon-like arms, and a prominent, pink-and-red, heart-like core in its chest. Its head has two large, pigtail-like ears.
802	A small, humanoid, mythical creature made of shadow. It has a gray, child-like body with a helmet-like head made of shadow. When attacking, its head and neck-frill flare up with green and yellow spectral fire.
803	A small, purple, alien-like creature with a humanoid shape. It has a very large head with a single, long needle on top, and a smaller needle on its tail. Its eyes are large and glow with a cyan light.
804	A massive, draconic, wasp-like, alien creature. It has a sleek, purple body with two large wings. Its lower body is an enormous, stinger-like abdomen with three additional, smaller stingers protruding from it.
805	A colossal, alien creature that resembles a living, mobile tower made of stacked, gray, stone-like bricks. Each individual brick has a single, glowing, blue eye on its side, which reveals itself when the creature is active.
806	A tall, slender, alien creature with a bizarre, clown-like appearance. Its body is white and lanky, and its "head" is a separate, floating, spherical object covered in colorful spots that can explode like a firework.
807	A bipedal, feline-like, mythical creature with yellow and black fur. It has a sleek, athletic build, long, blue, lightning-bolt-like whiskers, and a long, blue, ribbon-like streamer of fur extending from its back.
808	A small, creature made of gray, liquid metal. Its head is a single, golden, hexagonal nut with a small, black, spherical eye floating inside. A single, red, wire-like tail extends from its back.
809	A massive, humanoid golem made of flowing, liquid metal. Its body is incredibly muscular and powerful, with large, golden, hexagonal nuts embedded in its joints and chest. It can spin its arms to deliver devastating punches.
810	A small, green, monkey-like creature with brown ears and tail. It has a large, leaf-like tuft of hair on its head and carries a small, wooden stick which it taps rhythmically.
811	A more slender, bipedal, green monkey with a confident, musician-like attitude. It now carries two wooden sticks and has a more stylized, band-like hairdo made of leaves.
812	A colossal, gorilla-like creature with a powerful, muscular build. It has a massive, tree-stump-like drum set that it carries on its back, and its "hair" is a huge, flowing mane of green leaves.
813	A small, energetic, bipedal rabbit with white fur. It has long ears with red-orange tips, red-orange feet, and a distinctive, yellow, square-shaped patch on its nose like a bandage.
814	A slender, humanoid rabbit with a cool, aloof demeanor. Its fur pattern resembles a red-and-gray tracksuit or hoodie, and it often keeps its hands tucked into the fluffy fur around its waist.
815	A tall, athletic, humanoid rabbit with a soccer-player-like appearance. It has a sleek, white body with red and dark blue fur patterns that resemble a sports uniform. Its build is slender and agile.
816	A small, timid, lizard-like, aquatic creature with light blue skin. It has a large, yellow, fin-like crest on its head, large, teary eyes, and a curled tail. It can become invisible in water.
817	A lanky, bipedal, lizard-like creature with a moody, adolescent-like posture. It has a purple-and-blue body, and its "hair" is a slick, wet-looking crest that hangs over one of its eyes.
818	A very tall, slender, bipedal, chameleon-like creature with a spy or secret agent theme. It has a sleek, blue-and-black body, with yellow and white accents. It can shoot jets of water from its fingertips.
819	A small, chubby, squirrel-like rodent with gray fur. It has huge, puffy cheeks that it constantly stuffs with berries, and a large, fluffy tail.
820	A very large, bipedal, squirrel-like rodent with a gluttonous appearance. It has a massive, berry-filled tail that it uses as a seat, and a perpetually stuffed, satisfied look on its face.
821	A small, round, bird-like creature with blue-and-black plumage. It has a tough, scrappy attitude, with a white, mask-like pattern around its yellow eyes and a sharp, angry-looking crest.
822	A larger, raven-like bird with a sleek, dark blue-black body. It has a confident, cunning expression and a more pronounced, swept-back crest of feathers.
823	A massive, raven-like, avian creature covered in black, metallic, armor-like plumage. It has a formidable, knight-like appearance with piercing red eyes and a stern, regal posture.
824	A small, grub-like insect with a green, segmented body. Its most notable feature is a pair of large, thick, yellow-rimmed glasses that give it a nerdy appearance. It has a small, bow-tie-like marking.
825	A pupa-like creature with an orange, cone-shaped shell. It has two massive, blue, semi-transparent, dish-like psychic antennae on its head, giving it the appearance of a small, organic satellite.
826	A large, ladybug-like insectoid that levitates. Its body is small and black, but its head is an enormous, spherical, brain-like orb patterned like a UFO, with large, blue, psychic eyes.
827	A slender, quadrupedal, fox-like creature with red fur. It has black, glove-like and sock-like markings on its paws, a black, mask-like pattern on its face, and a tail tipped like a thief's sack.
828	A tall, slender, bipedal fox with a gentleman-thief or rogue-like appearance. It has a sleek body, a black mask, thin, mustache-like whiskers, and a sly, cunning expression.
829	A small, floating, plant-like creature. Its head is a small, green bud with a massive, yellow, fluffy, dandelion-seed-like puff of pollen on top. It has a cheerful expression.
830	A small, humanoid, plant-like creature with a massive, fluffy ball of cotton on its head, which it wears like a cap. Its body is small and green, and it has a mature, gentle face.
831	A small, sheep-like creature with a perfectly spherical body made of thick, white wool. Its face, ears, and legs are black, and it has two small, braided pigtails.
832	A large, tough-looking, quadrupedal sheep. It has a dark brown body, a thick ruff of white wool, and two large, dark, curved horns. It has a proud and sturdy stance.
833	A small, turtle-like creature with a large, round, blue head and a single, sharp, yellow horn. Its body is green, and it has a powerful, snapping jaw and a determined expression.
834	A massive, bipedal, snapping turtle with a rugged, aggressive appearance. It has an enormous, jagged, powerful jaw, an extendable neck, and a heavy, craggy, brown-and-yellow shell.
835	A small, quadrupedal, corgi-like, canine creature. It has yellow and green fur, a happy expression, and a distinctive, green, heart-shaped patch of fur on its rump.
836	A sleek, greyhound-like dog with a slender, athletic build designed for speed. It has yellow-and-green fur, and generates electricity as it runs.
837	A creature that is a single, rolling piece of black coal. It has a single, glowing, red eye and moves by spinning on a small, rocky, wheel-like protrusion at its base.
838	A creature resembling a mine cart made of rock, filled with a pile of glowing hot coals. The cart forms the body and legs, while the pile of coal on top has two glowing, red eyes.
839	A colossal, golem-like monster made of black rock and coal. Its back is a massive, smoldering pile of burning coal that acts as a furnace, and it has a powerful, hulking build.
840	A tiny, green, worm-like, draconic creature that lives inside a red-and-green apple. Only its eyes and two leaf-like antennae are visible, peeking out from the top of the apple.
841	A small, green, wyvern-like dragon. It uses the shed skin of an apple as a pair of wings and as a tail fin. It has a mischievous and agile appearance.
842	A stout, quadrupedal, draconic creature whose back is covered by a large, fleshy growth that resembles an apple pie. It has droopy, apple-peel-like ears and a calm, gentle demeanor.
843	A small, tan-colored, cobra-like snake. It is often seen coiled up in the sand, with its head and a large, expandable, pouch-like hood visible.
844	A large, cobra-like snake that is perpetually coiled, with its head and neck rising from the center. Its body is a massive, swirling tornado of sand, contained by its tough, patterned skin.
845	A blue, cormorant-like bird with a vacant, slightly dopey expression. It has a unique ability to scoop up a fish or a Pikachu in its gullet, which it then spits out as a projectile.
846	A long, slender, brown, fish-like creature resembling a living arrow or torpedo. It has a very simple, streamlined body, a sharp, pointed head, and is built for ramming at high speed.
847	A massive, powerful, barracuda-like fish. It has an extremely long, streamlined body, a sharp, spear-like jaw, and a propeller-like tail, giving it a menacing and incredibly fast appearance.
848	A small, bipedal, purple, lizard-like "baby" Pokémon. It has a very grumpy, punk-rock-like expression and a body shape that resembles a toddler wearing a diaper.
849	A tall, bipedal, punk-rock-lizard. Amped Form is yellow and purple, with guitar-like chest organs. Low Key Form is blue and purple, with bass-like chest organs. Both have a spiky, rebellious look.
850	A small, flat, insectoid that resembles a fiery centipede or a hot plate. Its body is red and yellow and generates intense heat from its underside.
851	A massive, fiery centipede with a long, segmented, red-and-orange body. It has a monstrous, flaming face with two large, antennae-like whiskers, and its body glows like a furnace.
852	A small, octopus-like creature with a tan-and-green body. It has a tough, brawler-like attitude and uses its two front tentacles, which have orange, boxing-glove-like tips, to punch.
853	A large, blue, octopus-like creature with a wrestler or grappler theme. It has a powerful, muscular build, a masked-fighter-like face, and uses its eight powerful tentacles to constrict its opponents.
854	A ghostly creature that is a small, purple, liquid-like spirit possessing an antique teacup. The teacup is white with a blue, floral pattern and a small chip on the rim.
855	A ghostly, purple spirit that possesses a cracked, antique, ceramic teapot. It can pour its own body out of the spout and has a mischievous, swirling pattern on the pot.
856	A small, humanoid, fairy-like creature with a pink-and-blue body, almost entirely hidden under a large, droopy, witch-hat-like growth on its head. It has a shy and reclusive nature.
857	A taller, humanoid creature with a more defined body. It is completely covered by a large, pink-and-blue, tent-like "hat," with two long, hair-like braids that it uses as arms.
858	A tall, slender, witch-like, fairy creature. Its true, small body resides inside a massive, powerful, tent-like structure made of its own hair, which it uses to attack. It has a silent and imposing presence.
859	A small, bipedal, fairy-like creature with a mischievous, imp-like appearance. It has a pink body, large ears, a wide, toothy grin, and a perpetually energetic and troublesome attitude.
860	A lanky, green, goblin-like creature with a hunched posture. Its long, dark hair is sharp and can be used as a spear-like weapon. It has a more menacing and cunning look.
861	A massive, muscular, ogre-like, humanoid creature. Its entire body is covered in long, dark, hair-like fibers that act as muscles, giving it immense physical strength and a wild, monstrous appearance.
862	A bipedal, badger-like creature with a black-and-white, punk-rock-band aesthetic. It has a tall, aggressive posture, sharp claws, and is known for its loud, intimidating shouts.
863	A bipedal, feline-like creature with a wild, Viking-berserker appearance. It has shaggy, gray fur, and its head has hardened into a natural, horned, iron helmet.
864	The ghostly remains of a Corsola. Its body is a bleached-white, dead coral skeleton. A transparent, ectoplasmic aura surrounds it, with sad, drooping "branches" representing its lost life.
865	A noble, white, duck-like knight. It has a proud and chivalrous demeanor, and wields a massive, sharpened leek as a lance, along with a shield made of thick, tough leaves.
866	A bipedal, humanoid creature resembling a classic comedian or tap-dancer. It has a large, round belly with a frozen, face-like pattern on it, wears a block of ice as a hat, and carries a cane made of ice.
867	A cursed, ancient, rune-covered stone slab that has become a ghost. Its main body is a large, vertical stone with a glowing, red, serpentine eye-like carving. A shadowy, snake-like body holds it aloft.
868	A tiny, sentient creature made of cream. It is a small, amorphous, white blob with two tiny, dark eyes. It can evolve into many forms depending on how it's treated.
869	A humanoid creature made entirely of whipped cream. Its form and color vary, but it is typically adorned with sweets like strawberries or clovers. It has a cheerful and sweet appearance.
870	A creature composed of a coordinated team of six, small, round, brass-helmeted beings that march in a single-file line. They resemble a troop of Spartan warriors, with the one in front being the leader.
871	A small, spiky, sea-urchin-like creature. Its body is a black, spherical core with many sharp, yellow spines that conduct electricity. It often lies on the seafloor.
872	A tiny, grub-like, insectoid creature. Its body is a soft, white, conical grub with a translucent, icy shell on its back. It has two small, round, blue eyes.
873	A large, beautiful moth with a white, furry body. Its most stunning feature is its massive, delicate, ice-crystal-patterned wings that shimmer and shed a chilling dust.
874	A creature that resembles a walking dolmen or a piece of Stonehenge. Its body is composed of several large, stacked, stone slabs, with two pillar-like legs and a flat top piece.
875	A penguin-like creature with a large, perfect cube of ice covering its head as a protective helmet. When the ice breaks, its smaller, anxious, purple head is revealed.
876	A bipedal, humanoid creature with a butler or maid-like appearance. The male is blue-bodied and has upward-curling horns. The female is white-bodied with downward-curling horns. Both have a gentle, supportive look.
877	A small, rodent-like creature with two modes. In Full Belly Mode, it is a cheerful, yellow-and-black hamster. In Hangry Mode, it becomes a mischievous, purple-and-black hamster with an angry expression.
878	A small, elephant-like creature made of a copper-like substance. Its body is orange with green, patinated highlights, and it has a powerful, shovel-shaped trunk.
879	A massive, elephant-like creature with a body of weathered, patinated, copper-like metal. It has a huge, powerful trunk and a stately, ancient appearance.
880	A bizarre, chimeric, fossil Pokémon. Its top half is a small, green, reptilian dragon, while its bottom half is a large, yellow, lightning-fast lizard's body. The two halves are awkwardly joined.
881	A chimeric, fossil Pokémon. Its top half is a shivering, blue, icy reptile with a perpetually runny nose, attached to the powerful, yellow, hind legs of an electric creature.
882	A chimeric, fossil Pokémon. It consists of the powerful head and torso of a green, draconic creature, which is bizarrely attached to the tail end of a large fish.
883	A chimeric, fossil Pokémon. It has the icy head of a reptile, which is attached upside-down to the body of a fish, giving it a very strange and mismatched appearance.
884	A bipedal, draconic creature whose body is made of a lightweight but incredibly strong, polished, metallic alloy. It has an angular, almost architectural, design.
885	A small, ghostly, draconic creature. It consists of a small, green, tadpole-like head and a long, tapering, transparent, ghostly tail. It is very timid.
886	A ghostly, draconic creature with a large, triangular, stealth-bomber-like head. It carries a small Dreepy on top of its head, which it cares for.
887	A large, draconic, ghost-like creature with a sleek, stealth-bomber-shaped head. Its most unique feature is two missile-silo-like horns on its head, from which it can launch Dreepy at high speeds.
888	A legendary, wolf-like creature. In its Hero form, it is a majestic, cyan-and-white wolf. In its Crowned Sword form, it holds a massive, ornate, golden sword in its mouth, and its body is adorned with golden armor.
889	A legendary, wolf-like creature. In its Hero form, it is a majestic, magenta-and-white wolf. In its Crowned Shield form, its front body and neck are covered by a massive, golden, shield-like mane.
890	A colossal, skeletal, alien dragon. Its body is an impossibly long, purple-and-red, draconic skeleton. A massive, cage-like structure of ribs in its chest contains a glowing, red, energy core.
891	A small, bipedal, bear-cub-like creature with a martial arts theme. It has gray fur, a serious expression, and a white, headband-like patch of fur on its head.
892	A massive, bipedal, martial arts bear. Single Strike Style is dark and powerful, with a fierce, direct stance. Rapid Strike Style is blue and gray, with a more fluid, flowing, multi-hit stance.
893	A mythical, ape-like creature with a tall, slender, dark-furred body. It has a sinister appearance with piercing green eyes, and can grow and manipulate vines from its body.
894	A legendary, golem-like creature. Its body is a sphere of pure, yellow, electrical energy, barely contained by several blue, ring-like insulators. Its arms are two jagged bolts of lightning.
895	A legendary, golem-like creature. Its core is a sphere of dark, draconic energy. Its "arms" are two massive, jaw-like structures made of crystallized red, draconic energy, resembling a dragon's skull.
896	A legendary, spectral horse made entirely of solid, white ice. It has a powerful, brutish build, a jagged mane of icicles, and an icy, helmet-like mask on its face.
897	A legendary, spectral horse made of shadowy, ghostly energy. It has a sleek, black body, a mane and hooves of purple, ethereal energy, and a detached, floating tail.
898	A graceful, bipedal, mythical creature with a small, green, humanoid body and a massive, green, bud-like growth for a head, which houses its immense brain. It has a calm and regal presence.
